Epoch,ReplayMemoryFill,TotalSteps,%IoU>0.6,AvgFinalIoU,NbForcedTrigger,%TriggersQNet,%QNetTriggersIoU>0.6,%QNetActionsImprovedIoU,AvgActionsPerDetection
1,99386,99386,99.99,0.7094,4,0.00,0.00,0.00,4.11
2,188810,188810,84.85,0.6795,7,29.73,49.10,33.26,3.70
3,290466,290466,83.34,0.6795,58,38.53,57.35,43.06,4.20
4,449182,449182,93.91,0.7058,324,18.95,74.63,48.95,6.56
5,500000,640763,91.20,0.7094,700,37.67,83.81,50.05,7.92
6,500000,913136,86.08,0.7042,1668,56.70,86.17,48.94,11.26
7,500000,1178596,88.22,0.7141,1474,56.22,88.56,49.51,10.98
8,500000,1431834,88.78,0.7173,1294,57.60,88.64,50.27,10.47
9,500000,1686835,88.97,0.7187,1175,56.47,87.96,50.23,10.54
10,500000,1953311,89.60,0.7202,1218,53.91,88.59,50.18,11.02
11,500000,2211697,89.28,0.7203,1128,55.78,87.80,50.52,10.68
12,500000,2460917,89.44,0.7224,1042,57.37,88.01,50.94,10.31
13,500000,2702544,89.78,0.7235,930,58.71,88.22,51.43,9.99
14,500000,2946046,89.38,0.7221,965,57.86,87.54,51.38,10.07
15,500000,3196710,89.55,0.7232,1049,56.69,88.09,51.29,10.36
16,500000,3450745,89.55,0.7232,1050,56.23,87.99,51.34,10.50
17,500000,3702476,88.68,0.7227,1135,59.95,87.85,51.09,10.41
18,500000,3956575,88.48,0.7231,1111,62.74,87.66,51.50,10.51
19,500000,4220117,87.91,0.7216,1209,64.25,87.43,51.13,10.90
20,500000,4500126,87.56,0.7222,1339,66.97,87.61,50.97,11.58
21,500000,4810038,86.89,0.7202,1689,66.59,87.72,50.34,12.81
22,500000,5134601,86.34,0.7202,2022,69.04,88.11,49.70,13.42
23,500000,5459276,85.67,0.7216,2273,74.06,88.62,49.79,13.43
24,500000,5795162,84.16,0.7192,2593,78.70,87.87,49.41,13.89
25,500000,6154190,83.38,0.7192,3192,82.98,88.26,49.54,14.85
26,500000,6494872,83.75,0.7198,2707,81.97,87.83,49.93,14.09
27,500000,6843487,83.35,0.7195,2746,81.72,87.37,50.07,14.42

